GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)
0400000US09,09,Connecticut,49056,316
0500000US09001,09001,"Fairfield County, Connecticut",68040,922
0500000US09003,09003,"Hartford County, Connecticut",46332,509
0500000US09005,09005,"Litchfield County, Connecticut",42513,983
0500000US09007,09007,"Middlesex County, Connecticut",46130,1103
0500000US09009,09009,"New Haven County, Connecticut",42003,483
0500000US09011,09011,"New London County, Connecticut",41066,816
0500000US09013,09013,"Tolland County, Connecticut",40232,947
0500000US09015,09015,"Windham County, Connecticut",32659,769
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",47164,3894
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",33488,2073
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",50267,4014
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",43927,2193
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",110490,6786
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",69088,6455
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",66576,3268
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",106359,5607
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",50857,3205
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",118780,7552
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",50174,4121
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",55332,3362
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",62239,2434
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",67403,6630
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",83106,5953
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",47693,3192
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",66687,11309
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",75793,3209
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",40696,1700
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",53210,2872
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",103243,8764
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",113733,8129
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",85452,7085
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",69907,4393
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",46752,3267
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",63810,7386
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",36286,1346
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",52087,3721
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",56316,6953
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",42627,4619
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",34913,1413
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",38266,3703
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",36311,1330
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",58766,3603
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",62612,3009
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",53263,4791
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",32645,3048
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",44415,4401
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",40962,1428
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",49204,6706
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",30611,1472
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",41215,1577
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",36842,2873
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",49440,4237
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",59363,2907
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",42329,1309
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",49208,2527
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",50936,5428
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",60738,2498
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",44787,2817
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",47657,2956
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",38663,4944
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",42722,3763
