GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)
0400000US09,09,Connecticut,41365,236
0500000US09001,09001,"Fairfield County, Connecticut",53433,614
0500000US09003,09003,"Hartford County, Connecticut",37817,386
0500000US09005,09005,"Litchfield County, Connecticut",40619,902
0500000US09007,09007,"Middlesex County, Connecticut",43695,975
0500000US09009,09009,"New Haven County, Connecticut",35085,375
0500000US09011,09011,"New London County, Connecticut",36881,727
0500000US09013,09013,"Tolland County, Connecticut",37830,868
0500000US09015,09015,"Windham County, Connecticut",29993,690
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",45171,3583
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",22806,669
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",48576,3696
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32764,1157
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",105928,5722
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",66658,6042
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",62541,2725
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",96533,4157
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",47991,3031
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",111515,7015
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",47982,3842
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",52754,3266
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",44888,1471
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",66046,6073
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",78363,5351
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",45642,2806
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",71997,12553
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",52245,1744
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",36043,1330
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",49030,2264
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",95534,7539
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",108829,7676
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",82428,6488
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",66837,4046
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",45324,2976
